212.6.44.68:443#LV [262.15ms]
91.208.206.103:443#MD [226.85ms]
45.67.229.8:443#MD [237.57ms]
45.86.86.53:443#MD [255.34ms]
185.216.68.218:8443#MD [258.35ms]
176.123.2.196:443#MD [281.01ms]
91.208.206.179:8443#MD [281.37ms]
176.123.1.97:443#MD [283.2ms]
185.250.148.240:443#MD [288.42ms]
185.250.148.4:443#MD [292.02ms]
193.36.38.17:443#MD [331.41ms]
45.83.141.93:443#MK [172.87ms]
195.144.24.34:443#MK [1320.87ms]
216.238.92.231:443#MX [230.64ms]
131.196.253.252:443#MX [275.09ms]
131.196.254.151:443#MX [275.56ms]
131.196.254.203:443#MX [287.41ms]
131.196.254.84:443#MX [287.94ms]
131.196.253.141:443#MX [318.24ms]
131.196.254.211:443#MX [342.6ms]
45.170.244.62:443#MX [1277.76ms]
202.61.75.80:8443#MY [优选高速 102.52ms]
202.61.74.243:8443#MY [104.14ms]
85.211.240.247:443#MY [优选高速 104.83ms]
142.111.146.116:443#MY [优选高速 142.18ms]
202.61.75.46:443#MY [优选高速 159.19ms]
163.61.103.239:443#MY [252.66ms]
160.187.97.121:2096#MY [346.48ms]
185.128.227.27:443#MY [347.23ms]
166.0.253.197:443#MY [优选高速 1108.2ms]
205.186.64.235:8443#MY [1147.37ms]
213.176.64.23:8443#NL [139.44ms]
144.31.135.125:443#NL [142.83ms]
185.52.0.84:443#NL [148.41ms]
185.246.190.218:443#NL [优选高速 149.44ms]
144.31.122.101:2053#NL [151.38ms]
185.214.10.72:2053#NL [优选高速 151.79ms]
168.100.9.178:2053#NL [152.76ms]
144.31.123.194:443#NL [优选高速 153.33ms]
186.190.213.211:443#NL [优选高速 154.53ms]
147.45.43.88:443#NL [154.59ms]
144.31.217.77:443#NO [224.15ms]
144.31.217.124:443#NO [238.1ms]
144.31.217.124:8443#NO [248.72ms]
144.31.217.98:443#NO [262.95ms]
193.200.238.20:8443#NO [319.81ms]
185.71.230.237:443#NZ [305.65ms]
209.146.25.162:443#PH [278.72ms]
185.223.57.198:443#PL [184.88ms]
144.31.131.47:8443#PL [186.02ms]
144.31.101.60:443#PL [190.38ms]
153.76.122.133:8443#PL [191.02ms]
23.27.24.219:8443#PL [195.02ms]
95.85.227.231:443#PL [196.91ms]
144.31.112.194:443#PL [200.5ms]
31.133.0.49:2053#PL [200.7ms]
144.31.101.97:8443#PL [202.59ms]
144.31.101.110:443#PL [211.07ms]
45.12.131.34:8443#PT [200.1ms]
5.182.39.243:443#PT [285.35ms]
185.138.89.45:2053#PT [300.78ms]
31.129.22.199:8443#PT [303.09ms]
185.138.89.29:8443#PT [316.89ms]
45.12.131.34:443#PT [1218.47ms]
156.244.43.22:443#QA [395.62ms]
185.225.17.223:443#RO [226.3ms]
82.117.255.207:443#RO [252.41ms]
85.90.196.11:443#RO [271.11ms]
154.43.62.76:443#RO [274.73ms]
185.104.181.228:443#RO [295.84ms]
185.165.169.144:8443#RO [332.45ms]
195.133.55.2:443#RO [1268.59ms]
196.245.161.74:443#RO [1329.02ms]
45.89.55.200:8443#RS [177.85ms]
185.48.250.164:443#RS [220.44ms]
185.48.250.175:443#RS [246.65ms]
185.48.250.138:443#RS [262.09ms]
45.15.160.250:443#RS [1178.51ms]
109.71.242.243:8443#RU [优选高速 110.28ms]
46.29.162.166:443#RU [111.16ms]
147.45.147.212:2053#RU [优选高速 116.44ms]
147.45.147.212:8443#RU [优选高速 118.79ms]
178.72.133.188:8443#RU [134.88ms]
72.56.37.70:8443#RU [138.14ms]
5.129.249.176:8443#RU [139.27ms]
72.56.34.156:8443#RU [141.63ms]
5.129.242.175:8443#RU [141.7ms]
194.87.151.151:443#RU [142.87ms]
176.124.220.32:443#SE [162.97ms]
138.124.59.252:443#SE [169.27ms]
138.124.118.236:443#SE [170.88ms]
109.172.95.207:443#SE [170.88ms]
138.124.118.204:2087#SE [171.46ms]
109.172.95.146:443#SE [172.92ms]
16.16.45.85:8443#SE [174.12ms]
83.147.254.245:443#SE [181.87ms]
79.72.19.53:2083#SE [185.59ms]
185.58.115.45:443#SE [186.87ms]
149.28.159.222:443#SG [优选高速 91.13ms]
13.229.65.190:443#SG [优选高速 91.47ms]
13.212.57.14:443#SG [优选高速 91.66ms]
207.148.119.176:443#SG [优选高速 92.28ms]
45.89.219.22:443#SG [93.18ms]
139.180.216.166:443#SG [优选高速 94.58ms]
18.143.179.83:443#SG [94.74ms]
139.180.220.7:443#SG [优选高速 94.76ms]
54.254.75.107:443#SG [优选高速 94.77ms]
18.143.76.130:443#SG [97.7ms]
194.58.66.220:443#SI [1300.31ms]
45.129.141.188:443#SK [265.17ms]
45.150.128.181:443#TH [157.18ms]
45.150.128.159:443#TH [158.55ms]
103.216.101.78:443#TH [270.13ms]
45.150.131.246:443#TH [1250.95ms]
